order	channel	x	y	z				
1	FP1	-1	4	4				
2	FPZ	0	4	4				
3	FP2	1	4	4				
4	AF3	-1	3	5				
5	AF4	1	3	5				
6	F7	-4	2	4				
7	F5	-3	2	5				
8	F3	-2	2	6				
9	F1	-1	2	7				
10	FZ	0	2	7				
11	F2	1	2	7				
12	F4	2	2	6				
13	F6	3	2	5				
14	F8	4	2	4				
15	FT7	-4	1	4				
16	FC5	-3	1	5				
17	FC3	-2	1	7				
18	FC1	-1	1	7				
19	FCZ	0	1	8				
20	FC2	1	1	7				
21	FC4	2	1	7				
22	FC6	3	1	5				
23	FT8	4	1	4				
24	T7	-4	0	4				
25	C5	-3	0	5				
26	C3	-2	0	7				
27	C1	-1	0	8				
28	CZ	0	0	8				
29	C2	1	0	8				
30	C4	2	0	7				
31	C6	3	0	5				
32	T8	4	0	4				
33	TP7	-4	-1	4				
34	CP5	-3	-1	5				
35	CP3	-2	-1	7				
36	CP1	-1	-1	7				
37	CPZ	0	-1	8				
38	CP2	1	-1	7				
39	CP4	2	-1	7				
40	CP6	3	-1	5				
41	TP8	4	-1	4				
42	P7	-4	-2	4				
43	P5	-3	-2	5				
44	P3	-2	-2	6				
45	P1	-1	-2	7				
46	PZ	0	-2	7				
47	P2	1	-2	7				
48	P4	2	-2	6				
49	P6	3	-2	5				
50	P8	4	-2	4				
51	PO7	-3	-3	4				
52	PO5	-2	-3	5				
53	PO3	-1	-3	5				
54	POZ	0	-3	5				
55	PO4	1	-3	5				
56	PO6	2	-3	5				
57	PO8	3	-3	4				
58	CB1	-2	-4	4				
59	O1	-1	-4	4				
60	OZ	0	-4	4				
61	O2	1	-4	4				
62	CB2	2	-4	4				
